材料号,合同号,入口厚度,入厚上跳,入厚下跳,入口宽度,宽反值3(a3),宽跳上限(a4),退火温度,温度上跳,温度下跳,退火曲线,分区,物料标签,宽反标记,分类代码,销售品种代码,合同属性(IPS),适配辊,对应辊,宽反值1(a1),宽反值2(a2),入口重量,物料属性,分选度,出钢记号,出口厚度,出口宽度,切边,分卷数,下道机组,均温最小,均温最大,周,交货期,距DL天数,计划量,欠量,表面结构,粗糙度,粗糙度最小值,粗糙度最大值,订货重量上限,订货重量下限,订货重,平整率,涂油种类,涂油量,牌号（钢级）,包装方式代码,入口内径,用户,中文用途,钢级代码,产线族,材料组别,补充号,集批代码,后处理,返修类型,返修机组,新试号,工序特殊要求,合同加工途径,产品最终用途码,紧急标记,紧急合同标记,厂别区分,库号,超投比例标记,材料强度等级,BACKLOG工序位,制造命令号,上工序生产时刻,出口重量,入口外径,入口材料类型,出口外径,出口长度,出口材料重范围标记,计划确定标记,结束生产时刻,计划工序代码,入口长度,入口材料号校验,全程工序途径码,全程工序代码,全程工序顺序号,计划分类,返修标记,牌号标准,后全程工序代码,后全程工序顺序号,成品工序标记,计划生产时间,开始生产时刻,合同拖期标记,预计划路径,关联计划号,前材料号,BACKLOG工序值,产品规范码,材料回退标记,镀层种类,上表面镀层重量,下表面镀层重量,平整方式,保护气体种类代码,订货宽度,优化标记,出口卷号,运输方式代码,粗糙度代码,终到站港代码,终到站港描述,委托控货标志,留料标志,高优先级标记,已排程标记,入口材料号,合同性质代码
21131670600 ,M1B0004275,1.796,2.296,1.296,1503,250,300,830,851,809,U83, ,,N,1,M0,GI-内板钝化,1.7/2.0/2.5/3.0,,4,4,22.27,999,3,DP0161D1,1.782,1499,0,0,D208,0,0,Y,20211031,15,0,14.18,5,1,0.1,2,15.01,10,15.01,1.4, ,C2,DC51D+Z-MD,x6,610,广东美的电器股份有限公司,普通白色家电内板加工,MI27CMDQC04,,BE0,0,999,11, , , ,,D00A000BR00000000,MJ00, , ,,Z04,,,9,21158419,2.0211E+13,15.01,1658,1,0,0,,,,,1058,,14ADDAHBIR9A9B9C9D,IR,5,,0,BXYM2016-006,9A,6,0,,,,,,,,MDY6Y1J006,,1,40,40,,,1499,,,水路运输,,52800022,佛山九江南鲲码头, ,0,0,0,,QZA
21130323830 ,M1B0004062,1.466,1.866,1.066,1304,250,300,830,851,809,U83, ,,N,8,M0,GI-内板钝化,1.7/2.0/2.5/3.0,,4,4,11.13,999,3,DP0161D1,1.485,1300,0,0,D208,0,0,Y,20210930,-16,0,12.93,5,1,0.1,2,16,10,16,1.4, ,1,DC51D+Z-MD,x6,610,广东美的电器股份有限公司,普通白色家电内板加工,MI27CMDQC04,,BE0,0,999,11, , , ,,D00A000BR00000000,MJ00, , ,,Z05,,,9,21156489,2.02109E+13,16,1317,1,0,0,,,,,747,,14ADDAHBIR9A9B9C9D,IR,5,,0,BXYM2016-006,9A,6,0,,,,,,,,MDY6Y2G006,,1,140,140,,,1300,,,水路运输,,52800022,佛山九江南鲲码头, ,0,0,0,,QZA
21131748100 ,M1B0004347,1.495,1.895,1.095,1266,250,300,790,811,769,U79, ,,N,8,M0,GI-内板钝化,1.7/2.0/2.5/3.0,,16,16,28.06,999,3,AP1055E5,1.485,1250,1,0,D208,0,0,Y,20211020,-6,0,96.42,5,1,0.1,2,15.01,10,15.01,1.4, ,C2,BDG1+Z,w8,610,广东合固五金精密制造有限公司,五金配件_表面要求,MI27CMDQC11,,BE0,0,999,11, , , ,,D00A000BR00000000,MW05, , ,,Z02,,,9,21158554,2.0211E+13,15.01,1989,1,0,0,,,,,1893,,14ADDAHBIR9A9B9C9D,IR,5,,0,BXZM2016-009,9A,6,0,,,,,,,,MDY6Y1J009,,1,40,40,,,1250,,,水路运输,,S4400086,揭阳津榕物流码头, ,0,0,0,,QZA
21131748200 ,M1B0004347,1.495,1.895,1.095,1266,250,300,790,811,769,U79, ,,N,8,M0,GI-内板钝化,1.7/2.0/2.5/3.0,,16,16,28.01,999,3,AP1055E5,1.485,1250,1,0,D208,0,0,Y,20211020,-6,0,96.42,5,1,0.1,2,15.01,10,15.01,1.4, ,C2,BDG1+Z,w8,610,广东合固五金精密制造有限公司,五金配件_表面要求,MI27CMDQC11,,BE0,0,999,11, , , ,,D00A000BR00000000,MW05, , ,,Z05,,,9,21158554,2.0211E+13,15.01,1990,1,0,0,,,,,1888,,14ADDAHBIR9A9B9C9D,IR,5,,0,BXZM2016-009,9A,6,0,,,,,,,,MDY6Y1J009,,1,40,40,,,1250,,,水路运输,,S4400086,揭阳津榕物流码头, ,0,0,0,,QZA
21131721800 ,M1B0004452,1.003,1.303,0.703,1266,250,300,790,811,769,U79, ,,N,8,M0,GI-内板钝化,1.7/2.0/2.5/3.0,,16,16,28.24,999,3,AP1055E5,1,1250,1,0,D208,0,0,Y,20211024,-2,0,132.18,5,1,0.1,2,16,10,16,1.4, ,1,DC51D+Z,w8,610,厦门ABB低压电器设备有限公司,白色家电外板加工_表面要求,MI27CMCQC09,,BE0,0,999,11, , , ,,D00A000BR00000000,MK05, , ,,Z05,,,9,21158526,2.0211E+13,16,1991,1,0,0,,,,,2841,,14ADDAHBIR9A9B9C9D,IR,5,,0,Q/BQB 420,9A,6,0,,,,,,,,MDAA01J103,,1,40,40,,,1250,,,水路运输,,36200002,泉州安海东石港, ,0,0,0,,QZA
21131721900 ,M1B0004452,1.003,1.303,0.703,1266,250,300,790,811,769,U79, ,,N,8,M0,GI-内板钝化,1.7/2.0/2.5/3.0,,16,16,28.2,999,3,AP1055E5,1,1250,1,0,D208,0,0,Y,20211024,-2,0,132.18,5,1,0.1,2,16,10,16,1.4, ,1,DC51D+Z,w8,610,厦门ABB低压电器设备有限公司,白色家电外板加工_表面要求,MI27CMCQC09,,BE0,0,999,11, , , ,,D00A000BR00000000,MK05, , ,,Z05,,,9,21158526,2.0211E+13,16,1994,1,0,0,,,,,2839,,14ADDAHBIR9A9B9C9D,IR,5,,0,Q/BQB 420,9A,6,0,,,,,,,,MDAA01J103,,1,40,40,,,1250,,,水路运输,,36200002,泉州安海东石港, ,0,0,0,,QZA
21131722000 ,M1B0004452,1.003,1.303,0.703,1266,250,300,790,811,769,U79, ,,N,8,M0,GI-内板钝化,1.7/2.0/2.5/3.0,,16,16,28.21,999,3,AP1055E5,1,1250,1,0,D208,0,0,Y,20211024,-2,0,132.18,5,1,0.1,2,16,10,16,1.4, ,1,DC51D+Z,w8,610,厦门ABB低压电器设备有限公司,白色家电外板加工_表面要求,MI27CMCQC09,,BE0,0,999,11, , , ,,D00A000BR00000000,MK05, , ,,Z05,,,9,21158526,2.0211E+13,16,1994,1,0,0,,,,,2839,,14ADDAHBIR9A9B9C9D,IR,5,,0,Q/BQB 420,9A,6,0,,,,,,,,MDAA01J103,,1,40,40,,,1250,,,水路运输,,36200002,泉州安海东石港, ,0,0,0,,QZA
21131702500 ,M1B0004429,1.481,1.881,1.081,1304,250,300,790,811,769,U79, ,,N,1,M0,GI-内板钝化,1.7/2.0/2.5/3.0,,16,16,24.51,999,3,AN1064E5,1.5,1288,1,0,D208,0,0,Y,20211031,15,0,60,5,1,0.1,2,11,7,11,1.4, ,1,DC51D+Z,5p,610,瑞尔盛国际贸易(上海)有限公司,普通白色家电内板加工,MI27CMCQC02,,BE0,0,999,11, , , ,,D00A000BR00000000,MJ00, , ,,Z05,,,9,21157694,2.0211E+13,11,1835,1,0,0,,,,,1620,,14ADDAHBIR9A9B9C9D,IR,5,,0,Q/BQB 420,9A,6,0,,,,,,,,MDAA01G103,,1,140,140,,,1288,,,水路运输,,51000010,广州庙头码头, ,0,0,0,,QZA
21131702400 ,M1B0004429,1.481,1.881,1.081,1304,250,300,790,811,769,U79, ,,N,1,M0,GI-内板钝化,1.7/2.0/2.5/3.0,,16,16,24.64,999,3,AN1064E5,1.5,1288,1,0,D208,0,0,Y,20211031,15,0,60,5,1,0.1,2,11,7,11,1.4, ,1,DC51D+Z,5p,610,瑞尔盛国际贸易(上海)有限公司,普通白色家电内板加工,MI27CMCQC02,,BE0,0,999,11, , , ,,D00A000BR00000000,MJ00, , ,,Z05,,,9,21157694,2.0211E+13,11,1841,1,0,0,,,,,1627,,14ADDAHBIR9A9B9C9D,IR,5,,0,Q/BQB 420,9A,6,0,,,,,,,,MDAA01G103,,1,140,140,,,1288,,,水路运输,,51000010,广州庙头码头, ,0,0,0,,QZA
21131879300 ,M1B0004467,0.593,0.793,0.443,1050,250,300,840,861,819,U84, ,,N,1,M0,GI-内板,1.7/2.0/2.5/3.0,,3,3,22.53,999,3,DT0145D1,0.6,1047,0,0,D208,0,0,Y,20211031,15,20.66,83.45,5,1,0.1,2,9.1,7,9.1,0.6, ,1,DC53D+Z-TCL,w1,610,TCL集团股份有限公司,白色家电外板加工_表面要求,MI27IFGQC00,,BE0,A,999,0, , , ,,D00A000BR000000V0,MK05, , ,,Z04,,,9,21158581,2.0211E+13,0,1965,1,0,0,,,,,4649,,14ADDAHBIRPV9A9B9C9D,IR,5,,0,BXYM2019-003,PV,6,0,,,,,,,,MDYBYBJ003,,1,40,40,,,1047,,,水路运输,,52800022,佛山九江南鲲码头, ,0,0,0,,QZA
21131705100 ,M1B0004420,0.729,1.029,0.529,1253,250,300,790,811,769,U79, ,,N,8,M0,GI-内板钝化,1.7/2.0/2.5/3.0,,3,3,23.77,999,3,AP1055E5,0.76,1250,0,0,D208,0,0,C,20211031,5,0,35,5,1,0.1,2,15.01,10,15.01,1.2, ,1,DC51D+Z,w8,610,广东美的电器股份有限公司,普通白色家电内板加工,MI27CMCQC09,,BE0,0,999,11, , , ,,D00A000BR00000000,MJ00, , ,,Z04,,,9,21158046,2.0211E+13,15.01,1855,1,0,0,,,,,3347,,14ADDAHBIR9A9B9C9D,IR,5,,0,Q/BQB 420,9A,6,0,,,,,,,,MDAA01G101,,1,140,140,,,1250,,,水路运输,,52800022,佛山九江南鲲码头, ,0,0,0,,QZA
21131554700 ,M1B0004429,1.481,1.881,1.081,1304,250,300,790,811,769,U79, ,,N,1,M0,GI-内板钝化,1.7/2.0/2.5/3.0,,16,16,25.75,999,3,AN1064E5,1.5,1288,1,0,D208,0,0,Y,20211031,15,0,60,5,1,0.1,2,11,7,11,1.4, ,1,DC51D+Z,5p,610,瑞尔盛国际贸易(上海)有限公司,普通白色家电内板加工,MI27CMCQC02,,BE0,0,999,11, , , ,,D00A000BR00000000,MJ00, , ,,Z04,,,9,21157694,2.0211E+13,11,1888,1,0,0,,,,,1699,,14ADDAHBIR9A9B9C9D,IR,5,,0,Q/BQB 420,9A,6,0,,,,,,,,MDAA01G103,,1,140,140,,,1288,,,水路运输,,51000010,广州庙头码头, ,0,0,0,,QZA
21131704200 ,M1B0004454,1.51,2.01,1.11,1266,250,300,790,811,769,U79, ,,N,8,M0,GI-内板钝化,1.7/2.0/2.5/3.0,,16,16,28.19,999,3,AP1055E5,1.5,1250,1,0,D208,0,0,Y,20211024,-2,0,133.189,5,1,0.1,2,16,10,16,1.4, ,1,DC51D+Z,w8,610,厦门ABB低压电器设备有限公司,白色家电外板加工_表面要求,MI27CMCQC09,,BE0,0,999,11, , , ,,D00A000BR00000000,MK05, , ,,Z05,,,9,21158526,2.0211E+13,16,1987,1,0,0,,,,,1885,,14ADDAHBIR9A9B9C9D,IR,5,,0,Q/BQB 420,9A,6,0,,,,,,,,MDAA01J103,,1,40,40,,,1250,,,水路运输,,36200002,泉州安海东石港, ,0,0,0,,QZA
21131704300 ,M1B0004454,1.51,2.01,1.11,1266,250,300,790,811,769,U79, ,,N,8,M0,GI-内板钝化,1.7/2.0/2.5/3.0,,16,16,28.18,999,3,AP1055E5,1.5,1250,1,0,D208,0,0,Y,20211024,-2,0,133.189,5,1,0.1,2,16,10,16,1.4, ,1,DC51D+Z,w8,610,厦门ABB低压电器设备有限公司,白色家电外板加工_表面要求,MI27CMCQC09,,BE0,0,999,11, , , ,,D00A000BR00000000,MK05, , ,,Z05,,,9,21158526,2.0211E+13,16,1989,1,0,0,,,,,1891,,14ADDAHBIR9A9B9C9D,IR,5,,0,Q/BQB 420,9A,6,0,,,,,,,,MDAA01J103,,1,40,40,,,1250,,,水路运输,,36200002,泉州安海东石港, ,0,0,0,,QZA
21131722100 ,M1B0004452,1.003,1.303,0.703,1266,250,300,790,811,769,U79, ,,N,8,M0,GI-内板钝化,1.7/2.0/2.5/3.0,,16,16,28.19,999,3,AP1055E5,1,1250,1,0,D208,0,0,Y,20211024,-2,0,132.18,5,1,0.1,2,16,10,16,1.4, ,1,DC51D+Z,w8,610,厦门ABB低压电器设备有限公司,白色家电外板加工_表面要求,MI27CMCQC09,,BE0,0,999,11, , , ,,D00A000BR00000000,MK05, , ,,Z05,,,9,21158526,2.0211E+13,16,1991,1,0,0,,,,,2837,,14ADDAHBIR9A9B9C9D,IR,5,,0,Q/BQB 420,9A,6,0,,,,,,,,MDAA01J103,,1,40,40,,,1250,,,水路运输,,36200002,泉州安海东石港, ,0,0,0,,QZA
21131499600 ,M1B0004453,1.206,1.606,0.906,1266,250,300,790,811,769,U79, ,,N,8,M0,GI-内板钝化,1.7/2.0/2.5/3.0,,16,16,27.78,999,3,AP1055E5,1.2,1250,1,0,D208,0,0,Y,20211024,-2,0,69.24,5,1,0.1,2,16,10,16,1.4, ,1,DC51D+Z,w8,610,厦门ABB低压电器设备有限公司,白色家电外板加工_表面要求,MI27CMCQC09,,BE0,0,999,11, , , ,,D00A000BR00000000,MK05, , ,,Z05,,,9,21158154,2.0211E+13,16,1979,1,0,0,,,,,2324,,14ADDAHBIR9A9B9C9D,IR,5,,0,Q/BQB 420,9A,6,0,,,,,,,,MDAA01J103,,1,40,40,,,1250,,,水路运输,,36200002,泉州安海东石港, ,0,0,0,,QZA
21131499700 ,M1B0004453,1.206,1.606,0.906,1266,250,300,790,811,769,U79, ,,N,8,M0,GI-内板钝化,1.7/2.0/2.5/3.0,,16,16,20.99,999,3,AP1055E5,1.2,1250,1,0,D208,0,0,Y,20211024,-2,0,69.24,5,1,0.1,2,16,10,16,1.4, ,1,DC51D+Z,w8,610,厦门ABB低压电器设备有限公司,白色家电外板加工_表面要求,MI27CMCQC09,,BE0,0,999,11, , , ,,D00A000BR00000000,MK05, , ,,Z05,,,9,21158154,2.0211E+13,16,1741,1,0,0,,,,,1754,,14ADDAHBIR9A9B9C9D,IR,5,,0,Q/BQB 420,9A,6,0,,,,,,,,MDAA01J103,,1,40,40,,,1250,,,水路运输,,36200002,泉州安海东石港, ,0,0,0,,QZA
21131499800 ,M1B0004453,1.206,1.606,0.906,1266,250,300,790,811,769,U79, ,,N,8,M0,GI-内板钝化,1.7/2.0/2.5/3.0,,16,16,21.02,999,3,AP1055E5,1.2,1250,1,0,D208,0,0,Y,20211024,-2,0,69.24,5,1,0.1,2,16,10,16,1.4, ,1,DC51D+Z,w8,610,厦门ABB低压电器设备有限公司,白色家电外板加工_表面要求,MI27CMCQC09,,BE0,0,999,11, , , ,,D00A000BR00000000,MK05, , ,,Z05,,,9,21158154,2.0211E+13,16,1745,1,0,0,,,,,1758,,14ADDAHBIR9A9B9C9D,IR,5,,0,Q/BQB 420,9A,6,0,,,,,,,,MDAA01J103,,1,40,40,,,1250,,,水路运输,,36200002,泉州安海东石港, ,0,0,0,,QZA
21131748000 ,M1B0004454,1.51,2.01,1.11,1266,250,300,790,811,769,U79, ,,N,8,M0,GI-内板钝化,1.7/2.0/2.5/3.0,,16,16,21,999,3,AP1055E5,1.5,1250,1,0,D208,0,0,Y,20211024,-2,0,133.189,5,1,0.1,2,16,10,16,1.4, ,1,DC51D+Z,w8,610,厦门ABB低压电器设备有限公司,白色家电外板加工_表面要求,MI27CMCQC09,,BE0,0,999,11, , , ,,D00A000BR00000000,MK05, , ,,Z04,,,9,21158596,2.0211E+13,16,1745,1,0,0,,,,,1406,,14ADDAHBIR9A9B9C9D,IR,5,,0,Q/BQB 420,9A,6,0,,,,,,,,MDAA01J103,,1,40,40,,,1250,,,水路运输,,36200002,泉州安海东石港, ,0,0,0,,QZA
21131704100 ,M1B0004454,1.51,2.01,1.11,1266,250,300,790,811,769,U79, ,,N,8,M0,GI-内板钝化,1.7/2.0/2.5/3.0,,16,16,28.23,999,3,AP1055E5,1.5,1250,1,0,D208,0,0,Y,20211024,-2,0,133.189,5,1,0.1,2,16,10,16,1.4, ,1,DC51D+Z,w8,610,厦门ABB低压电器设备有限公司,白色家电外板加工_表面要求,MI27CMCQC09,,BE0,0,999,11, , , ,,D00A000BR00000000,MK05, , ,,Z05,,,9,21158526,2.0211E+13,16,1989,1,0,0,,,,,1887,,14ADDAHBIR9A9B9C9D,IR,5,,0,Q/BQB 420,9A,6,0,,,,,,,,MDAA01J103,,1,40,40,,,1250,,,水路运输,,36200002,泉州安海东石港, ,0,0,0,,QZA
21131924300 ,M1B0004466,0.691,0.891,0.491,1259,250,300,790,811,769,U79, ,,N,1,M0,GI-内板钝化,1.7/2.0/2.5/3.0,,3,3,21.32,999,3,AP1055E5,0.7,1256,0,0,D208,0,0,Y,20211031,15,0,60,5,1,0.1,2,9.1,7,9.1,1.2, ,1,DC51D+Z-TCL,w1,610,TCL集团股份有限公司,普通白色家电内板加工,MI27CMCQC09,,BE0,0,999,11, , , ,,D00A000BR00000000,MJ00, , ,,Z05,,,9,21158526,2.0211E+13,9.1,1764,1,0,0,,,,,3138,,14ADDAHBIR9A9B9C9D,IR,5,,0,BXYM2019-003,9A,6,0,,,,,,,,MDYBY6B003,,1,60,60,,,1256,,,水路运输,,52800022,佛山九江南鲲码头, ,0,0,0,,QZA
21131498300 ,M1B0004455,2.017,2.517,1.517,1266,250,300,790,811,769,U79, ,,N,8,M0,GI-内板钝化,1.7/2.0/2.5/3.0,,16,16,27.64,999,3,AP1055E5,2,1250,1,0,D208,0,0,Y,20211024,-2,0,55,5,1,0.1,2,16,10,16,1.4, ,1,DC51D+Z,w8,610,厦门ABB低压电器设备有限公司,白色家电外板加工_表面要求,MI27CMCQC09,,BE0,0,999,11, , , ,,D00A000BR00000000,MK05, , ,,Z05,,,9,21476838,2.0211E+13,16,1969,1,0,0,,,,,1381,,14ADDAHBIR9A9B9C9D,IR,5,,0,Q/BQB 420,9A,6,0,,,,,,,,MDAA01J103,,1,40,40,,,1250,,,水路运输,,36200002,泉州安海东石港, ,0,0,0,,QZA
